text,label
I feel nervous starting this course,fear
I am excited to learn AI,joy
The workload seems heavy,sadness
I got a gift today,joy
I am scared about the exam,fear
I'm looking forward to class,joy
I hope I can handle the pressure,fear
I feel motivated to study,joy
The syllabus seems overwhelming,sadness
I'm worried about group work,fear
I miss my friends and support today,sadness
I am confident and proud!!,joy
I feel stressed and anxious!,sadness
I am neither happy nor sad currently.,neutral
I am struggling with my workload!!,sadness
Everything is going well for me!,joy
Everything is usual!!,neutral
These results make me furious today,anger
I'm uneasy and worried right now.,fear
I feel panicked,fear
I feel provoked and tense.,anger
I feel stressed and anxious currently!,sadness
I am delighted by the results?,joy
I am okay today right now?,neutral
I am okay today,neutral
I'm very happy right now,joy
I'm concerned about my future at the moment!!,fear
I feel inspired today.,joy
I am concerned about my future!,fear
I am enjoying this moment,joy
I'm frustrated and discouraged at the moment?,sadness
I'm furious about this delay right now!!,anger
I am disappointed by my performance currently?,sadness
I'm frustrated and discouraged?,sadness
I am furious about this delay...,anger
I feel stressed and anxious these days,sadness
I feel nervous about the results currently,fear
I feel content and satisfied right now!,joy
I feel balanced and calm.,neutral
This makes me so angry,anger
I'm confident and proud these days!!,joy
I feel insecure and vulnerable currently,fear
I am tense and jittery?,fear
I'm feeling upbeat and positive,joy
I'm uneasy and worried currently...,fear
I feel threatened by this situation these days!!,fear
I miss my friends and support right now!,sadness
I can't stand these mistakes currently...,anger
I am okay today...,neutral
These results make me furious!,anger
I feel balanced and calm right now!,neutral
This makes me so cheerful currently?,joy
I am relaxed and steady right now,neutral
I feel very angry!!,anger
I am tense and jittery currently,fear
I can't tolerate this situation.,anger
I feel inspired today these days,joy
I feel composed currently!!,neutral
I can't tolerate this situation currently,anger
I am delighted by the results right now...,joy
I feel nervous about the results?,fear
I feel inspired today...,joy
Everything is going well for me right now.,joy
I'm enjoying this moment today!,joy
I'm uneasy and worried.,fear
I feel very angry?,anger
I'm disappointed with this behavior at the moment!,anger
I am relaxed and steady.,neutral
I finally accomplished my goal these days!,joy
I feel indifferent?,neutral
I'm confident and proud these days,joy
I'm neither happy nor sad!!,neutral
I am annoyed by everything!!,anger
I'm irritated and upset at the moment!,anger
I'm anxious right now,fear
I feel threatened by this situation right now...,fear
I feel indifferent at the moment...,neutral
I am disappointed with this behavior?,anger
I am feeling upbeat and positive at the moment,joy
I am scared of failing this exam these days,fear
I am fine,neutral
I feel mad and agitated right now,anger
I feel fantastic today at the moment!!,joy
I feel mad and agitated!,anger
I feel fantastic today right now?,joy
I feel average and stable.,neutral
I'm anxious right now these days!!,fear
I feel insecure and vulnerable at the moment!!,fear
I'm disappointed with this behavior these days?,anger
These results make me furious currently,anger
I'm irritated and upset currently?,anger
I am relaxed and steady currently,neutral
I feel provoked and tense?,anger
I feel threatened by this situation currently!!,fear
I feel composed right now...,neutral
I feel provoked and tense these days,anger
I feel nervous about the results today!,fear
I feel lonely!!,sadness
I can't stand these mistakes right now...,anger
I'm confident and proud currently.,joy
I feel inspired today...,joy
Everything is going well for me these days...,joy
I'm struggling with my workload,sadness
I feel indifferent...,neutral
I am irritated and upset right now.,anger
I am unhappy with my results these days,sadness
I am confident and proud today,joy
I'm scared of failing this exam?,fear
I am uneasy and worried at the moment,fear
I feel balanced and calm,neutral
I am disappointed by my performance currently.,sadness
I feel nervous about the results at the moment!,fear
I'm neither happy nor sad,neutral
I feel gloomy and sad!,sadness
I feel very angry.,anger
Everything is usual,neutral
I'm thrilled with my progress,joy
I'm fine today?,neutral
I'm neither happy nor sad right now...,neutral
I feel indifferent.,neutral
I am enjoying this moment.,joy
I can't tolerate this situation,anger
I am fine.,neutral
I feel fantastic today right now.,joy
This makes me so angry today,anger
I am concerned about my future currently!,fear
I'm confident and proud!,joy
Everything is usual!!,neutral
I'm annoyed by everything currently?,anger
I'm disappointed by my performance today!!,sadness
I'm relaxed and steady.,neutral
I finally accomplished my goal...,joy
I am disappointed with this behavior currently!!,anger
I am scared of failing this exam?,fear
I feel panicked right now.,fear
I finally accomplished my goal at the moment,joy
I'm tense and jittery at the moment.,fear
I feel stressed and anxious...,sadness
I feel provoked and tense,anger
I am scared of failing this exam currently,fear
I'm neither happy nor sad these days?,neutral
I am thrilled with my progress these days,joy
I feel lonely?,sadness
I feel gloomy and sad right now.,sadness
I feel unbothered...,neutral
I am very happy right now at the moment,joy
I am concerned about my future!,fear
I'm disappointed by my performance,sadness
I am okay today currently.,neutral
This makes me so angry!,anger
This makes me so cheerful right now,joy
I feel average and stable currently.,neutral
I feel threatened by this situation...,fear
I'm confident and proud today!,joy
I am unhappy with my results!!,sadness
I am scared of failing this exam...,fear
I am unhappy with my results...,sadness
I am disappointed by my performance at the moment...,sadness
I feel panicked currently,fear
I feel apprehensive currently,fear
Nothing special is happening today,neutral
I feel inspired today?,joy
I feel inspired today right now!,joy
I finally accomplished my goal,joy
I am irritated and upset today.,anger
I'm irritated and upset these days,anger
Everything is usual at the moment?,neutral
I'm feeling upbeat and positive currently!!,joy
I feel content and satisfied...,joy
I am uneasy and worried today?,fear
I am furious about this delay right now?,anger
I'm delighted by the results.,joy
I feel panicked...,fear
I feel provoked and tense right now...,anger
I feel drained and tired at the moment.,sadness
I feel provoked and tense currently...,anger
I am concerned about my future right now.,fear
I feel nervous about the results right now...,fear
